timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,drift_quality,gripper_side,sw,opening_mm,angle_deg
2026-04-21T02:57:45.829941+00:00,32.716340,1776740265829941317,969140,1776740265829941317,rough_corrected,right,ON,18.8,30.59
2026-04-21T02:57:45.844759+00:00,32.732340,1776740265844759317,969156,1776740265845941317,rough_corrected,right,ON,19.1,31.11
2026-04-21T02:57:45.861212+00:00,0.023500,1776740265861212117,969172,1776740265861941317,rough_corrected,right,ON,19.8,32.34
2026-04-21T02:57:45.876647+00:00,0.038184,1776740265876646617,969188,1776740265876625152,corrected,right,ON,20.6,33.49
2026-04-21T02:57:45.796428+00:00,-0.041299,1776740265796428017,969108,1776740265797142016,corrected,right,ON,18.7,30.5
2026-04-21T02:57:45.812901+00:00,-0.025294,1776740265812900917,969124,1776740265813146880,corrected,right,ON,18.7,30.5
2026-04-21T02:57:45.892927+00:00,0.054228,1776740265892927217,969204,1776740265892669184,corrected,right,ON,21.4,34.72
2026-04-21T02:57:45.908460+00:00,0.070016,1776740265908460017,969220,1776740265908457472,corrected,right,ON,22.0,35.68
2026-04-21T02:57:45.924691+00:00,0.086010,1776740265924690917,969236,1776740265924451584,corrected,right,ON,22.6,36.47
2026-04-21T02:57:45.941199+00:00,0.102225,1776740265941199317,969252,1776740265940666624,corrected,right,ON,22.7,36.74
2026-04-21T02:57:45.965373+00:00,0.121459,1776740265965373017,969268,1776740265959899904,corrected,right,ON,22.8,36.83
2026-04-21T02:57:45.973082+00:00,0.136810,1776740265973081617,969284,1776740265975251712,corrected,right,ON,22.8,36.83
2026-04-21T02:57:45.989567+00:00,0.152490,1776740265989567117,969300,1776740265990931200,corrected,right,ON,22.7,36.65
2026-04-21T02:57:46.004958+00:00,0.168067,1776740266004958017,969316,1776740266006508032,corrected,right,ON,22.5,36.3
2026-04-21T02:57:46.021422+00:00,0.183870,1776740266021422117,969332,1776740266022311680,corrected,right,ON,22.0,35.6
2026-04-21T02:57:46.036764+00:00,0.199547,1776740266036764317,969348,1776740266037988352,corrected,right,ON,21.0,34.1
2026-04-21T02:57:46.053290+00:00,0.215419,1776740266053290317,969364,1776740266053859840,corrected,right,ON,19.4,31.55
2026-04-21T02:57:46.069581+00:00,0.231382,1776740266069581217,969380,1776740266069822720,corrected,right,ON,17.2,27.95
2026-04-21T02:57:46.085138+00:00,0.247255,1776740266085138117,969396,1776740266085696512,corrected,right,ON,15.0,24.35
2026-04-21T02:57:46.101609+00:00,0.263248,1776740266101608817,969412,1776740266101689344,corrected,right,ON,13.4,21.8
2026-04-21T02:57:46.117914+00:00,0.279301,1776740266117914217,969428,1776740266117742592,corrected,right,ON,12.8,20.74
2026-04-21T02:57:46.133263+00:00,0.295225,1776740266133262717,969444,1776740266133665792,corrected,right,ON,12.8,20.74
2026-04-21T02:57:46.149784+00:00,0.311252,1776740266149783517,969460,1776740266149693184,corrected,right,ON,12.5,20.3
2026-04-21T02:57:46.165135+00:00,0.327165,1776740266165135217,969476,1776740266165606144,corrected,right,ON,11.7,18.98
2026-04-21T02:57:46.188029+00:00,0.344214,1776740266188028717,969492,1776740266182655488,corrected,right,ON,9.9,16.08
2026-04-21T02:57:46.198047+00:00,0.360180,1776740266198046817,969508,1776740266198621184,corrected,right,ON,8.0,13.01
2026-04-21T02:57:46.213370+00:00,0.376047,1776740266213369517,969524,1776740266214488320,corrected,right,ON,6.3,10.2
2026-04-21T02:57:46.229797+00:00,0.391992,1776740266229796717,969540,1776740266230433536,corrected,right,ON,3.9,6.24
2026-04-21T02:57:46.246309+00:00,0.408015,1776740266246308617,969556,1776740266246456576,corrected,right,ON,1.2,2.02
2026-04-21T02:57:46.261747+00:00,0.423959,1776740266261747517,969572,1776740266262400000,corrected,right,ON,1.3,2.11
2026-04-21T02:57:46.278093+00:00,0.439953,1776740266278093117,969588,1776740266278394624,corrected,right,ON,1.4,2.2
2026-04-21T02:57:46.293425+00:00,0.455864,1776740266293425317,969604,1776740266294304768,corrected,right,ON,1.3,2.11
2026-04-21T02:57:46.309884+00:00,0.471839,1776740266309884317,969620,1776740266310280448,corrected,right,ON,1.3,2.11
2026-04-21T02:57:46.326413+00:00,0.487880,1776740266326413317,969636,1776740266326321408,corrected,right,ON,1.4,2.2
2026-04-21T02:57:46.341789+00:00,0.503844,1776740266341788717,969652,1776740266342285312,corrected,right,ON,1.3,2.11
2026-04-21T02:57:46.358273+00:00,0.519866,1776740266358272917,969668,1776740266358307328,corrected,right,ON,1.4,2.2
2026-04-21T02:57:46.374484+00:00,0.535908,1776740266374483617,969684,1776740266374349568,corrected,right,ON,1.4,2.2
2026-04-21T02:57:46.398493+00:00,0.552800,1776740266398492817,969700,1776740266391241472,corrected,right,ON,1.4,2.2
2026-04-21T02:57:46.406504+00:00,0.568781,1776740266406504317,969716,1776740266407221760,corrected,right,ON,1.4,2.29
2026-04-21T02:57:46.421896+00:00,0.584700,1776740266421896517,969732,1776740266423141376,corrected,right,ON,1.4,2.29
2026-04-21T02:57:46.438240+00:00,0.600660,1776740266438240117,969748,1776740266439101184,corrected,right,ON,1.4,2.29
2026-04-21T02:57:46.454782+00:00,0.616675,1776740266454781417,969764,1776740266455116032,corrected,right,ON,1.4,2.29
2026-04-21T02:57:46.470124+00:00,0.632626,1776740266470123617,969780,1776740266471067136,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.486543+00:00,0.648619,1776740266486542617,969796,1776740266487060224,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.502850+00:00,0.664640,1776740266502849917,969812,1776740266503081216,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.518500+00:00,0.680628,1776740266518500317,969828,1776740266519069184,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.534809+00:00,0.696643,1776740266534808617,969844,1776740266535084288,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.550308+00:00,0.712614,1776740266550307617,969860,1776740266551055616,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.566634+00:00,0.728614,1776740266566634217,969876,1776740266567055360,corrected,right,ON,1.5,2.46
2026-04-21T02:57:46.583229+00:00,0.744662,1776740266583228617,969892,1776740266583102976,corrected,right,ON,1.5,2.46
2026-04-21T02:57:46.598388+00:00,0.760639,1776740266598388417,969908,1776740266599080448,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.621410+00:00,0.777163,1776740266621410117,969924,1776740266615604224,corrected,right,ON,1.5,2.46
2026-04-21T02:57:46.631218+00:00,0.793180,1776740266631218417,969940,1776740266631621120,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.646708+00:00,0.809157,1776740266646708417,969956,1776740266647598080,corrected,right,ON,1.5,2.46
2026-04-21T02:57:46.663385+00:00,0.825185,1776740266663384517,969972,1776740266663625728,corrected,right,ON,1.5,2.46
2026-04-21T02:57:46.678591+00:00,0.841153,1776740266678590517,969988,1776740266679594240,corrected,right,ON,1.5,2.46
2026-04-21T02:57:46.695093+00:00,0.857158,1776740266695093317,970004,1776740266695599616,corrected,right,ON,1.5,2.46
2026-04-21T02:57:46.711397+00:00,0.873184,1776740266711396517,970020,1776740266711625472,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.726936+00:00,0.889177,1776740266726936417,970036,1776740266727618048,corrected,right,ON,1.5,2.46
2026-04-21T02:57:46.743357+00:00,0.905198,1776740266743356917,970052,1776740266743639040,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.759733+00:00,0.921242,1776740266759733617,970068,1776740266759683328,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.775208+00:00,0.937249,1776740266775207717,970084,1776740266775690496,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.791455+00:00,0.953272,1776740266791455117,970100,1776740266791712768,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.807122+00:00,0.969272,1776740266807122417,970116,1776740266807712768,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.830570+00:00,0.985733,1776740266830570417,970132,1776740266824174080,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.839698+00:00,1.001750,1776740266839697617,970148,1776740266840190720,corrected,right,ON,1.5,2.37
2026-04-21T02:57:46.855277+00:00,1.017763,1776740266855276617,970164,1776740266856204032,corrected,right,ON,1.5,2.46
2026-04-21T02:57:46.871851+00:00,1.033772,1776740266871851317,970180,1776740266872213504,corrected,right,ON,2.9,4.66
