timestamp,time_seconds,timestamp_ns,tracker_left_x,tracker_left_y,tracker_left_z,tracker_left_qw,tracker_left_qx,tracker_left_qy,tracker_left_qz,tracker_right_x,tracker_right_y,tracker_right_z,tracker_right_qw,tracker_right_qx,tracker_right_qy,tracker_right_qz,tracker_head_x,tracker_head_y,tracker_head_z,tracker_head_qw,tracker_head_qx,tracker_head_qy,tracker_head_qz
2026-03-27T18:25:47.970888+00:00,0.070519,1774635947970888100,0.475508,0.312772,0.397517,0.594617,-0.149228,-0.740387,-0.275806,1.435359,0.625981,0.717669,0.395098,-0.722251,-0.447468,0.348109,-0.176472,-0.147734,0.336419,0.366038,0.421457,-0.411964,-0.719072
2026-03-27T18:25:47.988115+00:00,0.087746,1774635947988115000,1.435422,0.626076,0.718039,0.394508,-0.722731,-0.449331,0.346867,-0.17665,-0.147797,0.336418,0.365384,0.42268,-0.413265,-0.719876,0.475501,0.312777,0.397584,0.594731,-0.148832,-0.740213,-0.275879
2026-03-27T18:25:48.004981+00:00,0.104612,1774635948004981100,1.435506,0.626201,0.718425,0.394724,-0.722273,-0.450271,0.344816,-0.17684,-0.147848,0.336474,0.365675,0.422757,-0.413183,-0.718109,0.475507,0.312767,0.397652,0.594126,-0.148907,-0.740843,-0.275924
2026-03-27T18:25:48.022258+00:00,0.121888,1774635948022257600,1.435603,0.626345,0.718828,0.395057,-0.721755,-0.451039,0.342693,-0.177008,-0.147889,0.336468,0.365062,0.423993,-0.414167,-0.71897,0.475486,0.31277,0.397689,0.594134,-0.148955,-0.740833,-0.275909
2026-03-27T18:25:48.039116+00:00,0.138747,1774635948039116300,1.435712,0.626457,0.719243,0.394487,-0.723635,-0.453131,0.341398,-0.177138,-0.147942,0.336533,0.365262,0.423972,-0.413396,-0.718151,0.475468,0.312777,0.397715,0.594148,-0.148997,-0.74083,-0.275863
2026-03-27T18:25:48.061802+00:00,0.161433,1774635948061802500,1.435895,0.626615,0.719785,0.394951,-0.72395,-0.454572,0.339348,-0.177258,-0.147997,0.336583,0.365256,0.424532,-0.412696,-0.718248,0.475436,0.312775,0.397721,0.594143,-0.149129,-0.740847,-0.275876
2026-03-27T18:25:48.076758+00:00,0.176389,1774635948076758100,1.436015,0.626717,0.72016,0.396032,-0.722028,-0.454362,0.337553,-0.177276,-0.148053,0.336575,0.364799,0.425073,-0.412644,-0.719593,0.475428,0.312775,0.397747,0.594125,-0.149211,-0.740867,-0.27594
2026-03-27T18:25:48.093722+00:00,0.193353,1774635948093722400,1.43614,0.626773,0.720546,0.395945,-0.723177,-0.455118,0.336552,-0.177308,-0.14809,0.336616,0.365073,0.424998,-0.4119,-0.719041,0.475375,0.312798,0.397759,0.594746,-0.149054,-0.739615,-0.27565
2026-03-27T18:25:48.110805+00:00,0.210435,1774635948110804600,1.436293,0.626819,0.720877,0.39626,-0.723098,-0.454366,0.335531,-0.177316,-0.148132,0.336684,0.365089,0.424945,-0.411442,-0.718549,0.475351,0.312787,0.397728,0.594726,-0.149305,-0.740253,-0.275888
2026-03-27T18:25:48.127829+00:00,0.227459,1774635948127828900,1.436506,0.626772,0.721128,0.396013,-0.72438,-0.45342,0.33513,-0.177309,-0.148162,0.336736,0.365114,0.424883,-0.41147,-0.718557,0.475316,0.312792,0.397737,0.594825,-0.149275,-0.740127,-0.275585
