time_seconds,head_speed,left_speed,right_speed,hl_err_max,hr_err_max,lr_err,bad_head,bad_left,bad_right,bad_pair,bad_any
-0.02869,0.0,0.0,0.0,1.7959560180060536,2.673313871933884,0.7353416169865779,False,False,False,False,False
-0.006531,0.02515756987802663,0.01429380764166528,0.01290932291574671,1.792081765183381,2.6786215263297586,0.7577879120467178,False,False,False,False,False
0.010225,0.02083631012168694,0.011851124421903362,0.00857962622512748,1.7915283004944287,2.6736171664707875,0.7657737238794933,False,False,False,False,False
0.026867,0.024622461661372053,0.011564114499747216,0.014290178864086636,1.7931517969153585,2.6706979565530586,0.7771760542883319,False,False,False,False,False
0.043923,0.026237412478372128,0.013789240470811868,0.018664551053158188,1.7939266474798903,2.660878795920689,0.7849867355125162,False,False,False,False,False
0.060977,0.02030526615210185,0.012976866331039758,0.029941088019560837,1.794996679211868,2.644690450013269,0.7883394985674782,False,False,False,False,False
0.078155,0.02511237295501298,0.009766254290081225,0.021156442578056697,1.7966939709246583,2.634605906661109,0.7886801489511231,False,False,False,False,False
0.095037,0.018306777116716685,0.01196188753237475,0.03865284653788469,1.7991661132019803,2.622625772453275,0.7634244396316532,False,False,False,False,False
0.112085,0.021634591593432086,0.008827186751306447,0.02901361448239786,1.8034093424839512,2.6161807635439978,0.7382142935170586,False,False,False,False,False
0.129181,0.014410952327262905,0.012582704919617905,0.039926621769818774,1.804848350675229,2.6102286082571964,0.7013074523682425,False,False,False,False,False
0.146215,0.01804064866386745,0.014736989473975243,0.0381176789022595,1.8067670282636008,2.6067028092656503,0.6620849903281483,False,False,False,False,False
0.163907,0.012689445533145422,0.01770244373877735,0.057932012692344007,1.8048114530292978,2.5994237403798754,0.6012842545657838,False,False,False,False,False
0.180776,0.016536664054272506,0.01333122382806752,0.05501716679484283,1.8046638624455769,2.593547408727301,0.5466718694830534,False,False,False,False,False
0.197767,0.011075945614687728,0.0174544588558495,0.05774778657145967,1.804147295402556,2.5889600788565788,0.48663151189822457,False,False,False,False,False
0.214559,0.012776403722109508,0.016225643543617007,0.05348520721246918,1.8001254519961642,2.5855859271334882,0.43332346607774513,False,False,False,False,False
0.231689,0.011077509649159406,0.016421514945274992,0.047055468269190326,1.796693970924656,2.579671683663799,0.38515595913447703,False,False,False,False,False
0.24868,0.01507932447638145,0.01365225794116598,0.050031815867730096,1.794553907460705,2.5731508511202934,0.33039080174592994,False,False,False,False,False
0.265722,0.013377038460594728,0.02002555735794936,0.025000715997631553,1.787174378274668,2.569928346665659,0.3019761952256204,False,False,False,False,False
0.28277,0.014489690408586782,0.01918561964243537,0.014766188795230065,1.7803852114235124,2.566061341320091,0.2865926374763619,False,False,False,False,False
0.299819,0.013849659767809847,0.02332000092677024,0.01779484103535489,1.7722308316729416,2.5529438525988537,0.2712053024177136,False,False,False,False,False
0.316556,0.014701617258449352,0.020479228629563202,0.02012616355217477,1.7663272083241095,2.544337870114114,0.25089949882137785,False,False,False,False,False
0.333569,0.012999239023137262,0.018583980395443546,0.03436381049049713,1.760202199099702,2.5358077112636037,0.2156342239847655,False,False,False,False,False
0.350645,0.013926490201762485,0.015485673251550671,0.04380812311563119,1.7565862297985377,2.5323956477233946,0.17416151539542638,False,False,False,False,False
0.367601,0.011279414846249562,0.016579334265339345,0.04948719510584162,1.753376134602613,2.5321302650036017,0.13376822881226216,False,False,False,False,False
0.386806,0.014591526293300815,0.01298344949582647,0.06538207618848473,1.7519371264113395,2.530462145050615,0.07297977264324784,False,False,False,False,False
0.403175,0.014028354657883432,0.014332729329082118,0.06076613436003573,1.7515681499520352,2.526329756985256,0.025537717117839396,False,False,False,False,False
0.420177,0.011175465420833362,0.013284353397395872,0.04743555023208727,1.7549996310235412,2.5290214960003046,0.010903130766691107,False,False,False,False,False
0.437333,0.009702739884275,0.013210578502298882,0.04985458199363867,1.760386687329348,2.5317511468324674,0.051255243105669195,False,False,False,False,False
0.454212,0.010390063766307894,0.010941935402538388,0.04014142107571517,1.765921334218878,2.5348599158357668,0.08162255185032176,False,False,False,False,False
0.471315,0.009164207793680263,0.0104558692499806,0.04671877965846807,1.7715297764002642,2.5381203321075154,0.12349470926236836,False,False,False,False,False
0.488249,0.008857722134736725,0.009304516708280799,0.030120108581458967,1.776105084495608,2.541153277476588,0.15255740681392227,False,False,False,False,False
0.505199,0.006323702236746295,0.011508206019548488,0.036248442487324756,1.7799424396723498,2.5444516055654556,0.19067939550487145,False,False,False,False,False
0.522191,0.009168899839405022,0.003515837342568124,0.018387782203054114,1.7825252748874614,2.5475603745687527,0.20788867748558507,False,False,False,False,False
0.539244,0.005308198901139404,0.014052619028962586,0.02676413581059727,1.785403291270017,2.548811464533497,0.2357450688601246,False,False,False,False,False
0.556321,0.010072367152028833,0.028685257523634912,0.01629573290611235,1.794037340417682,2.5482427872767945,0.2600534304775257,False,False,False,False,False
0.573553,0.00736177974358206,0.017281524585711732,0.01467602207065627,1.7996457825990702,2.547484550934528,0.2798441542950807,False,False,False,False,False
0.592063,0.0075003150897024785,0.013350479795545857,0.01311168786512635,1.8056600988856921,2.544224134662775,0.2945082190178774,False,False,False,False,False
0.608941,0.00509297859292478,0.01259700931717155,0.021333902333619717,1.8087963987897582,2.534025855859271,0.31128165027465426,False,False,False,False,False
0.625973,0.0034104123371203163,0.01127977640670936,0.0164553622090672,1.8104567928566153,2.5248891079349436,0.32115091299081094,False,False,False,False,False
0.643004,0.0038565584812797126,0.0105932366939918,0.011928837733543798,1.81119474577522,2.5187853053796863,0.331852853121579,False,False,False,False,False
0.659988,0.004153783331239507,0.010459095081487181,0.01231935520076961,1.8125968563205705,2.5166243318042256,0.3359035978811445,False,False,False,False,False
0.676866,0.004500953794360908,0.012198620644702106,0.026113367744394652,1.8149583056601009,2.518671569928349,0.3490230387500659,False,False,False,False,False
0.693894,0.004707311352443876,0.010535693194424807,0.03478877859085011,1.8170614714781228,2.5218561625658733,0.36036772438354864,False,False,False,False,False
0.710862,0.003990172296047197,0.01095816606338488,0.03475000144707394,1.8200132831525349,2.5275429351328818,0.3734462344750651,False,False,False,False,False
0.727965,0.0013447933111171671,0.010074885445202783,0.029237151268858286,1.8238875359752076,2.5403950411343237,0.3818899146677076,False,False,False,False,False
0.744972,0.001417295324653991,0.008801061794352985,0.03079900190672337,1.8272821194007864,2.557682829738032,0.3924278148737782,False,False,False,False,False
0.762034,0.008218336287567624,0.013571802057597919,0.02602234457812008,1.8303446240129881,2.571899761155551,0.40044029948122445,False,False,False,False,False
0.779304,0.005240221121829203,0.009602446705490666,0.023063922786892087,1.8303815216589192,2.5848656026083323,0.404081632010424,False,False,False,False,False
0.797334,0.004452275594096272,0.004380181890544487,0.020732674000153856,1.8289056158217103,2.599537475831217,0.40816445520985317,False,False,False,False,False
0.81621,0.005024753422918224,0.007569271560081296,0.01757801717469338,1.8297542616781044,2.6112522273192558,0.4170532764988314,False,False,False,False,False
