timestamp,time_seconds,timestamp_ns,tracker_head_x,tracker_head_y,tracker_head_z,tracker_head_qw,tracker_head_qx,tracker_head_qy,tracker_head_qz,tracker_right_x,tracker_right_y,tracker_right_z,tracker_right_qw,tracker_right_qx,tracker_right_qy,tracker_right_qz,tracker_left_x,tracker_left_y,tracker_left_z,tracker_left_qw,tracker_left_qx,tracker_left_qy,tracker_left_qz
2026-03-27T17:04:53.692521+00:00,0.256613,1774631093692521200,-0.280942,0.381516,0.67695,0.066286,-0.080006,1.011003,0.23843,-0.4636,-0.022278,0.731894,0.02568,-0.909192,0.512712,0.427519,-0.098469,0.041052,0.725104,0.057887,0.600798,0.765736,0.292736
2026-03-27T17:04:53.709352+00:00,0.273444,1774631093709352400,-0.281514,0.381647,0.677303,0.066893,-0.079647,0.993704,0.23382,-0.464008,-0.022856,0.731639,0.033139,-0.722037,0.407608,0.342756,-0.097824,0.042448,0.728853,0.065812,0.556309,0.701011,0.270799
2026-03-27T17:04:53.726413+00:00,0.290505,1774631093726413600,-0.282247,0.382098,0.67791,0.067529,-0.079158,0.976,0.229183,-0.464476,-0.023696,0.731178,0.029698,-0.826833,0.467134,0.395869,-0.097404,0.044155,0.733308,0.066786,0.593561,0.740167,0.290272
2026-03-27T17:04:53.743595+00:00,0.307686,1774631093743594800,-0.282868,0.382401,0.678438,0.067031,-0.080183,0.976133,0.229045,-0.464939,-0.024721,0.730906,0.028282,-0.888045,0.503952,0.429555,-0.096992,0.04587,0.738031,0.068706,0.625674,0.773762,0.309617
2026-03-27T17:04:53.760463+00:00,0.324555,1774631093760463300,-0.283464,0.382487,0.678871,0.065857,-0.082003,0.986348,0.231359,-0.465203,-0.025663,0.730532,0.027674,-0.92127,0.525466,0.4505,-0.096988,0.048056,0.743432,0.078523,0.584056,0.718951,0.293872
2026-03-27T17:04:53.777387+00:00,0.341478,1774631093777386700,-0.284049,0.382492,0.679389,0.064588,-0.084139,0.999488,0.234647,-0.465443,-0.026639,0.729979,0.039041,-0.670109,0.384136,0.331557,-0.097034,0.050217,0.748814,0.081758,0.592674,0.728605,0.304846
2026-03-27T17:04:53.794512+00:00,0.358603,1774631093794511700,-0.284646,0.382556,0.679936,0.063039,-0.086671,1.018142,0.239188,-0.465654,-0.027601,0.729496,0.037828,-0.726243,0.418638,0.362584,-0.097681,0.052886,0.755081,0.086127,0.590662,0.728988,0.312776
2026-03-27T17:04:53.811508+00:00,0.375599,1774631093811508100,-0.285299,0.382584,0.68044,0.067878,-0.080915,0.939435,0.221202,-0.465727,-0.028558,0.728779,0.039048,-0.758022,0.438949,0.380081,-0.098819,0.055375,0.76108,0.090842,0.584281,0.72849,0.319893
2026-03-27T17:04:53.828588+00:00,0.392679,1774631093828587500,-0.285911,0.382593,0.681105,0.065542,-0.084302,0.968171,0.228405,-0.465666,-0.02922,0.72843,0.037974,-0.847135,0.492033,0.426128,-0.100552,0.058253,0.76786,0.09397,0.58287,0.738546,0.330901
2026-03-27T17:04:53.846560+00:00,0.410651,1774631093846560000,-0.286553,0.382574,0.681744,0.062192,-0.089466,1.015919,0.240418,-0.465643,-0.030136,0.727597,0.044179,-0.781338,0.45496,0.393686,-0.102689,0.060921,0.774402,0.0965,0.579415,0.752586,0.342918
2026-03-27T17:04:53.862861+00:00,0.426953,1774631093862861400,-0.287173,0.382569,0.682312,0.066226,-0.084519,0.948901,0.225345,-0.465753,-0.031091,0.726779,0.047642,-0.771076,0.449935,0.38787,-0.105206,0.063603,0.781131,0.099118,0.571815,0.761865,0.352335
2026-03-27T17:04:53.879833+00:00,0.443924,1774631093879832600,-0.287791,0.382448,0.682811,0.06279,-0.089845,0.997701,0.237537,-0.465807,-0.031903,0.725906,0.049514,-0.800589,0.46707,0.401674,-0.108094,0.065844,0.787359,0.104486,0.546947,0.748149,0.352015
2026-03-27T17:04:53.896847+00:00,0.460938,1774631093896846600,-0.288481,0.382415,0.683464,0.066774,-0.085069,0.934354,0.223154,-0.465909,-0.032626,0.725284,0.057389,-0.744412,0.433987,0.37221,-0.111492,0.068176,0.794416,0.107774,0.529403,0.745011,0.357459
2026-03-27T17:04:53.913741+00:00,0.477832,1774631093913741000,-0.289148,0.38232,0.683928,0.064513,-0.088893,0.967557,0.231363,-0.46596,-0.033435,0.724478,0.056018,-0.815679,0.47455,0.406098,-0.115058,0.070004,0.800619,0.106293,0.534445,0.776458,0.379755
2026-03-27T17:04:53.931055+00:00,0.495146,1774631093931055100,-0.289987,0.382345,0.684537,0.062982,-0.092024,0.991347,0.236969,-0.466169,-0.034217,0.724013,0.059312,-0.801029,0.463122,0.397815,-0.119144,0.071938,0.80767,0.11299,0.505521,0.761072,0.381065
2026-03-27T17:04:53.947861+00:00,0.511953,1774631093947861200,-0.290769,0.382363,0.685072,0.062225,-0.094216,1.00422,0.239603,-0.466371,-0.035019,0.723517,0.061609,-0.791715,0.454824,0.392942,-0.123105,0.073154,0.813491,0.116457,0.490909,0.769851,0.393701
2026-03-27T17:04:53.964955+00:00,0.529047,1774631093964955400,-0.29145,0.382406,0.685467,0.062346,-0.094923,1.001607,0.238575,-0.466674,-0.035847,0.722892,0.062177,-0.797548,0.455192,0.395833,-0.127247,0.074037,0.819359,0.119318,0.473444,0.776327,0.404495
2026-03-27T17:04:53.982201+00:00,0.546292,1774631093982200500,-0.292188,0.382446,0.685905,0.062987,-0.094552,0.988833,0.23504,-0.466996,-0.036646,0.72218,0.062034,-0.812719,0.460899,0.403091,-0.131576,0.074751,0.825772,0.12333,0.451913,0.775645,0.412968
2026-03-27T17:04:53.999510+00:00,0.563601,1774631093999509600,-0.292841,0.382506,0.686216,0.064443,-0.092628,0.95974,0.227349,-0.467535,-0.037365,0.721537,0.061079,-0.845058,0.475967,0.417431,-0.13593,0.074991,0.831975,0.12603,0.436685,0.780048,0.423034
2026-03-27T17:04:54.016392+00:00,0.580483,1774631094016391700,-0.293519,0.382582,0.686507,0.067186,-0.088861,0.913124,0.215212,-0.467926,-0.038033,0.720706,0.06306,-0.843162,0.471781,0.413995,-0.139774,0.074734,0.836841,0.12697,0.42239,0.781147,0.433649
2026-03-27T17:04:54.033363+00:00,0.597454,1774631094033362700,-0.294166,0.382672,0.686698,0.062376,-0.095835,0.974878,0.228438,-0.468504,-0.03867,0.719983,0.067661,-0.810937,0.450702,0.395464,-0.14392,0.074203,0.842545,0.126425,0.407212,0.781665,0.445655
2026-03-27T17:04:54.050447+00:00,0.614538,1774631094050446700,-0.294838,0.382843,0.686831,0.065195,-0.091801,0.923846,0.215226,-0.468995,-0.039348,0.719115,0.07179,-0.788325,0.435095,0.382407,-0.147862,0.07342,0.84738,0.125068,0.397266,0.79533,0.464352
2026-03-27T17:04:54.067472+00:00,0.631563,1774631094067471700,-0.295536,0.383082,0.6869,0.060687,-0.098482,0.982325,0.227339,-0.469703,-0.040067,0.718488,0.07433,-0.782686,0.428689,0.378448,-0.151865,0.072738,0.852506,0.129369,0.379332,0.79375,0.474367
2026-03-27T17:04:54.087197+00:00,0.651288,1774631094087196600,-0.296388,0.383489,0.686934,0.057577,-0.103808,1.025076,0.234816,-0.470392,-0.04086,0.717697,0.075801,-0.788774,0.428337,0.380638,-0.155777,0.071804,0.857279,0.133349,0.362492,0.794259,0.485973
2026-03-27T17:04:54.102062+00:00,0.666154,1774631094102062200,-0.297228,0.383889,0.687051,0.059955,-0.100007,0.979165,0.22197,-0.471223,-0.04151,0.71715,0.078595,-0.780648,0.421627,0.375513,-0.15883,0.070609,0.860855,0.137364,0.344865,0.78588,0.489321
2026-03-27T17:04:54.119137+00:00,0.683228,1774631094119136700,-0.298157,0.384276,0.686968,0.057517,-0.105361,1.01876,0.22846,-0.472041,-0.042183,0.71645,0.075395,-0.839579,0.450999,0.402233,-0.162302,0.069634,0.865318,0.137409,0.331768,0.790055,0.500446
2026-03-27T17:04:54.136135+00:00,0.700227,1774631094136135400,-0.299093,0.384787,0.686851,0.063247,-0.097283,0.927973,0.205841,-0.472841,-0.042718,0.715578,0.078411,-0.830007,0.443749,0.39613,-0.165696,0.068792,0.869702,0.137075,0.31559,0.787065,0.510233
2026-03-27T17:04:54.153186+00:00,0.717277,1774631094153185900,-0.300081,0.385234,0.686711,0.06195,-0.100851,0.95223,0.208647,-0.473785,-0.043255,0.714772,0.082464,-0.806893,0.429845,0.38446,-0.169096,0.068151,0.874223,0.136942,0.297639,0.781807,0.521193
2026-03-27T17:04:54.170238+00:00,0.734329,1774631094170237700,-0.301005,0.385803,0.686601,0.061361,-0.103309,0.968335,0.209443,-0.474726,-0.043648,0.713856,0.081581,-0.831546,0.441204,0.395229,-0.172337,0.067755,0.87872,0.135358,0.283374,0.784837,0.535841
2026-03-27T17:04:54.187182+00:00,0.751273,1774631094187181900,-0.302013,0.386311,0.686472,0.061161,-0.105287,0.980163,0.209314,-0.475698,-0.043975,0.712873,0.086073,-0.803296,0.425165,0.381113,-0.175327,0.067533,0.883204,0.134679,0.267723,0.780239,0.543681
2026-03-27T17:04:54.204073+00:00,0.768165,1774631094204073600,-0.302909,0.386842,0.686357,0.059511,-0.11021,1.01819,0.214901,-0.476752,-0.044285,0.711862,0.086189,-0.816597,0.431773,0.386253,-0.178162,0.067461,0.88769,0.134161,0.251982,0.772133,0.550183
2026-03-27T17:04:54.221299+00:00,0.785391,1774631094221299200,-0.30389,0.387342,0.686193,0.065046,-0.102784,0.942022,0.19666,-0.477808,-0.044456,0.710692,0.089634,-0.801846,0.423674,0.377415,-0.181078,0.067581,0.892326,0.13155,0.239851,0.776988,0.570212
2026-03-27T17:04:54.238200+00:00,0.802291,1774631094238200000,-0.30475,0.387883,0.686073,0.063015,-0.107897,0.982737,0.202769,-0.478914,-0.044691,0.709575,0.091708,-0.800896,0.423048,0.374857,-0.184196,0.067842,0.896999,0.131229,0.224208,0.767262,0.579827
2026-03-27T17:04:54.255236+00:00,0.819327,1774631094255235800,-0.305603,0.388408,0.68595,0.061945,-0.111488,1.010251,0.205711,-0.479995,-0.044874,0.708419,0.092599,-0.810743,0.428315,0.377597,-0.187128,0.068197,0.901414,0.129426,0.212388,0.764871,0.592736
