timestamp,time_seconds,timestamp_ns,t_ms,t_ms_corrected_ns,drift_quality,gripper_side,sw,opening_mm,angle_deg
2026-04-21T02:57:13.111430+00:00,31.808627,1776740233111429617,936516,1776740233111429617,rough_corrected,right,ON,19.4,31.55
2026-04-21T02:57:13.127899+00:00,0.013828,1776740233127899517,936532,1776740233127429617,rough_corrected,right,ON,19.5,31.82
2026-04-21T02:57:13.143484+00:00,0.029828,1776740233143484017,936548,1776740233143429617,rough_corrected,right,ON,19.9,32.52
2026-04-21T02:57:13.167557+00:00,0.051586,1776740233167557017,936564,1776740233165187584,corrected,right,ON,20.9,34.01
2026-04-21T02:57:13.175061+00:00,0.064868,1776740233175060617,936580,1776740233178470144,corrected,right,ON,21.5,34.8
2026-04-21T02:57:13.063169+00:00,-0.050113,1776740233063168417,936468,1776740233063488768,corrected,right,ON,15.2,24.79
2026-04-21T02:57:13.079819+00:00,-0.034081,1776740233079819017,936484,1776740233079521280,corrected,right,ON,17.5,28.48
2026-04-21T02:57:13.101303+00:00,-0.017452,1776740233101303217,936500,1776740233096150016,corrected,right,ON,18.9,30.85
2026-04-21T02:57:13.191499+00:00,0.079642,1776740233191499217,936596,1776740233193243392,corrected,right,ON,21.5,34.89
2026-04-21T02:57:13.208007+00:00,0.095158,1776740233208007517,936612,1776740233208760064,corrected,right,ON,21.5,34.89
2026-04-21T02:57:13.223367+00:00,0.110588,1776740233223366917,936628,1776740233224190208,corrected,right,ON,21.5,34.89
2026-04-21T02:57:13.239845+00:00,0.126396,1776740233239844917,936644,1776740233239997952,corrected,right,ON,21.5,34.89
2026-04-21T02:57:13.256319+00:00,0.142431,1776740233256318617,936660,1776740233256033024,corrected,right,ON,21.6,35.07
2026-04-21T02:57:13.271630+00:00,0.158240,1776740233271630117,936676,1776740233271842048,corrected,right,ON,21.6,35.07
2026-04-21T02:57:13.288121+00:00,0.174248,1776740233288121417,936692,1776740233287849728,corrected,right,ON,21.6,35.07
2026-04-21T02:57:13.303448+00:00,0.190071,1776740233303448417,936708,1776740233303673088,corrected,right,ON,21.5,34.89
2026-04-21T02:57:13.319906+00:00,0.206056,1776740233319905717,936724,1776740233319657472,corrected,right,ON,21.2,34.37
2026-04-21T02:57:13.336431+00:00,0.222173,1776740233336431117,936740,1776740233335774720,corrected,right,ON,20.2,32.96
2026-04-21T02:57:13.351689+00:00,0.238099,1776740233351688717,936756,1776740233351700992,corrected,right,ON,19.5,31.73
2026-04-21T02:57:13.373626+00:00,0.255322,1776740233373626117,936772,1776740233368923392,corrected,right,ON,19.0,30.94
2026-04-21T02:57:13.384548+00:00,0.271282,1776740233384548217,936788,1776740233384883968,corrected,right,ON,18.9,30.85
2026-04-21T02:57:13.400001+00:00,0.287142,1776740233400000717,936804,1776740233400743680,corrected,right,ON,18.9,30.76
2026-04-21T02:57:13.416491+00:00,0.303115,1776740233416491017,936820,1776740233416717056,corrected,right,ON,18.5,30.15
2026-04-21T02:57:13.431854+00:00,0.318979,1776740233431854217,936836,1776740233432581120,corrected,right,ON,18.1,29.44
2026-04-21T02:57:13.448283+00:00,0.334937,1776740233448283417,936852,1776740233448538368,corrected,right,ON,17.5,28.56
2026-04-21T02:57:13.464635+00:00,0.350957,1776740233464635117,936868,1776740233464559104,corrected,right,ON,17.1,27.77
2026-04-21T02:57:13.480102+00:00,0.366892,1776740233480102517,936884,1776740233480493312,corrected,right,ON,16.4,26.72
2026-04-21T02:57:13.496578+00:00,0.382906,1776740233496578117,936900,1776740233496507904,corrected,right,ON,14.6,23.73
2026-04-21T02:57:13.512900+00:00,0.398966,1776740233512900317,936916,1776740233512567552,corrected,right,ON,11.2,18.19
2026-04-21T02:57:13.528536+00:00,0.414967,1776740233528536317,936932,1776740233528568576,corrected,right,ON,8.6,13.97
2026-04-21T02:57:13.544697+00:00,0.430989,1776740233544697317,936948,1776740233544591104,corrected,right,ON,6.4,10.37
2026-04-21T02:57:13.560224+00:00,0.446947,1776740233560223817,936964,1776740233560549120,corrected,right,ON,4.6,7.38
2026-04-21T02:57:13.576683+00:00,0.462968,1776740233576682617,936980,1776740233576569856,corrected,right,ON,3.2,5.1
2026-04-21T02:57:13.592940+00:00,0.479018,1776740233592940017,936996,1776740233592619776,corrected,right,ON,2.3,3.69
2026-04-21T02:57:13.614665+00:00,0.495746,1776740233614665117,937012,1776740233609347584,corrected,right,ON,2.2,3.52
2026-04-21T02:57:13.624964+00:00,0.511738,1776740233624963617,937028,1776740233625339904,corrected,right,ON,2.1,3.34
