timestamp,time_seconds,timestamp_ns,tracker_left_x,tracker_left_y,tracker_left_z,tracker_left_qw,tracker_left_qx,tracker_left_qy,tracker_left_qz,tracker_right_x,tracker_right_y,tracker_right_z,tracker_right_qw,tracker_right_qx,tracker_right_qy,tracker_right_qz,tracker_head_x,tracker_head_y,tracker_head_z,tracker_head_qw,tracker_head_qx,tracker_head_qy,tracker_head_qz
2026-03-27T17:17:13.542590+00:00,0.046715,1774631833542589600,1.423804,0.477121,0.872844,0.49266,-0.734269,-0.429579,0.184844,-0.111188,-0.207473,0.312729,0.254247,0.333285,-0.400779,-0.811722,0.470167,0.327401,0.417505,0.590195,-0.133691,-0.749104,-0.269661
2026-03-27T17:17:13.559361+00:00,0.063486,1774631833559360900,1.423742,0.476951,0.873091,0.492786,-0.73369,-0.429654,0.184091,-0.111123,-0.207578,0.312838,0.254867,0.334841,-0.39984,-0.812082,0.470248,0.327309,0.417504,0.590255,-0.133808,-0.749108,-0.269577
2026-03-27T17:17:13.576318+00:00,0.080443,1774631833576317900,1.42374,0.476928,0.873275,0.492276,-0.73441,-0.430906,0.183861,-0.111327,-0.207502,0.31293,0.255879,0.33744,-0.399558,-0.811949,0.470353,0.327242,0.417498,0.590137,-0.133847,-0.749246,-0.269888
2026-03-27T17:17:13.593322+00:00,0.097447,1774631833593321700,1.423715,0.476931,0.873492,0.492814,-0.733113,-0.430967,0.183031,-0.111865,-0.207267,0.312979,0.256474,0.340527,-0.400633,-0.813139,0.470442,0.327194,0.417527,0.590143,-0.133739,-0.748622,-0.269662
2026-03-27T17:17:13.610289+00:00,0.114414,1774631833610289300,1.423685,0.476931,0.873704,0.492966,-0.732413,-0.431933,0.182325,-0.11226,-0.206684,0.31299,0.259176,0.341107,-0.398982,-0.808162,0.470555,0.327128,0.417517,0.590018,-0.133886,-0.748792,-0.269962
2026-03-27T17:17:13.627467+00:00,0.131592,1774631833627467000,1.4236,0.476959,0.873954,0.49258,-0.733349,-0.433326,0.18187,-0.112611,-0.20599,0.312941,0.26096,0.343303,-0.399827,-0.80934,0.470682,0.327068,0.417485,0.590036,-0.134005,-0.749394,-0.270192
2026-03-27T17:17:13.645316+00:00,0.149441,1774631833645316300,1.423473,0.476969,0.87421,0.49329,-0.731742,-0.433755,0.180841,-0.11305,-0.205107,0.31283,0.263243,0.344618,-0.401012,-0.806646,0.470834,0.326992,0.417491,0.58999,-0.134111,-0.749458,-0.270176
2026-03-27T17:17:13.661674+00:00,0.165799,1774631833661674100,1.423441,0.477109,0.874437,0.493461,-0.731335,-0.43458,0.180039,-0.113461,-0.204107,0.312724,0.265209,0.346422,-0.402909,-0.804285,0.470943,0.326944,0.417485,0.590009,-0.134179,-0.749385,-0.270304
2026-03-27T17:17:13.679630+00:00,0.183755,1774631833679630200,1.42332,0.477125,0.874745,0.493035,-0.731914,-0.435566,0.179303,-0.114129,-0.202988,0.312561,0.265934,0.350053,-0.409154,-0.803414,0.47103,0.326886,0.417498,0.590452,-0.134281,-0.748283,-0.270376
2026-03-27T17:17:13.696976+00:00,0.201101,1774631833696975800,1.423258,0.477142,0.874969,0.493141,-0.731681,-0.436167,0.178721,-0.114702,-0.202128,0.312446,0.26939,0.349088,-0.410037,-0.795678,0.471152,0.326782,0.417493,0.590259,-0.134564,-0.748564,-0.270561
