timestamp,time_seconds,timestamp_ns,tracker_left_x,tracker_left_y,tracker_left_z,tracker_left_qw,tracker_left_qx,tracker_left_qy,tracker_left_qz,tracker_right_x,tracker_right_y,tracker_right_z,tracker_right_qw,tracker_right_qx,tracker_right_qy,tracker_right_qz,tracker_head_x,tracker_head_y,tracker_head_z,tracker_head_qw,tracker_head_qx,tracker_head_qy,tracker_head_qz
2026-03-27T18:04:08.338527+00:00,0.326569,1774634648338526700,1.460966,0.551378,0.797708,0.433149,-0.748969,-0.441205,0.23619,-0.165235,-0.194475,0.33412,0.26465,0.352698,-0.507944,-0.738361,0.458593,0.331588,0.430664,0.596029,-0.115282,-0.756061,-0.245303
2026-03-27T18:04:08.355430+00:00,0.343472,1774634648355429700,1.46103,0.551035,0.797399,0.434531,-0.748376,-0.440384,0.236793,-0.165439,-0.194163,0.333954,0.269141,0.351746,-0.506552,-0.741349,0.458586,0.331491,0.430723,0.595943,-0.11575,-0.756162,-0.245347
2026-03-27T18:04:08.372469+00:00,0.360512,1774634648372469100,1.461084,0.550821,0.797032,0.436018,-0.747991,-0.439699,0.237197,-0.165615,-0.19382,0.334069,0.273777,0.350096,-0.503147,-0.743004,0.458622,0.331349,0.430793,0.595826,-0.116095,-0.756301,-0.245522
2026-03-27T18:04:08.389525+00:00,0.377568,1774634648389525100,1.461134,0.550466,0.796751,0.43737,-0.747665,-0.439075,0.237584,-0.16583,-0.193509,0.33428,0.278529,0.348522,-0.499752,-0.743785,0.458624,0.33123,0.43087,0.595744,-0.116489,-0.756395,-0.24556
2026-03-27T18:04:08.406483+00:00,0.394526,1774634648406483100,1.461194,0.550245,0.796425,0.438853,-0.746813,-0.438069,0.237723,-0.166162,-0.193125,0.334509,0.284024,0.347083,-0.495571,-0.741718,0.458671,0.331091,0.430994,0.59563,-0.116659,-0.755913,-0.245519
2026-03-27T18:04:08.423504+00:00,0.411547,1774634648423503800,1.461261,0.549886,0.796147,0.43903,-0.747561,-0.437956,0.238164,-0.166651,-0.192718,0.334643,0.288428,0.347288,-0.493818,-0.741055,0.45868,0.330961,0.431114,0.595492,-0.116934,-0.756052,-0.245732
2026-03-27T18:04:08.440866+00:00,0.428909,1774634648440865800,1.461309,0.549617,0.795868,0.439568,-0.747448,-0.437059,0.238327,-0.167283,-0.192165,0.334833,0.292033,0.348697,-0.494089,-0.74153,0.458696,0.330787,0.4313,0.595296,-0.117202,-0.755635,-0.245914
2026-03-27T18:04:08.457670+00:00,0.445713,1774634648457670000,1.461268,0.549385,0.795813,0.440232,-0.747233,-0.436286,0.238393,-0.168034,-0.191615,0.335016,0.296648,0.348339,-0.492932,-0.738402,0.458699,0.330594,0.431468,0.595048,-0.117527,-0.755885,-0.246472
2026-03-27T18:04:08.474678+00:00,0.462721,1774634648474677800,1.461276,0.549079,0.795622,0.440611,-0.747386,-0.435848,0.238564,-0.168814,-0.190974,0.335375,0.299874,0.348543,-0.493699,-0.7369,0.458831,0.330332,0.431693,0.594853,-0.11775,-0.755816,-0.247049
2026-03-27T18:04:08.491787+00:00,0.47983,1774634648491787200,1.461292,0.548839,0.795467,0.441051,-0.74793,-0.435624,0.238877,-0.169625,-0.190396,0.335665,0.302474,0.349529,-0.495855,-0.736008,0.458874,0.330148,0.431911,0.594084,-0.117924,-0.75663,-0.24741
